WHSE,STORE/DC#,REC#,STAT,PICK#,PICK DATE,PICK REF#,INV#,INV DATE,INV REF#,BOL#,DIV,ACCT#,ORDER#,ITEM#,DESCRIPTION,UPC#,SKU,VIA,DELIVER,CANCEL,QTY,UOM,PACK,CTNS,SHIP TO NAME,SHIP TO ATTN,SHIP TO ADDRESS,SHIP TO ADDRESS-2,SHIP TO CITY,SHIP TO STATE,SHIP TO ZIP,BILL TO NAME,BILL TO ATTN,BILLTO ADDRESS,BILL TO ADDRESS-2,BILL TO CITY,BILL TO STATE,BILL TO ZIP,COMMENTS
CA,,,3,FBA15S0Z7XV0,10-08-2020,,,,,,CHM,,,PM004,,EAN : 8902552051269,,BEST,10-08-2020,10-11-2020,14,CS,14,,"Amazon.com Services, Inc.",,22205 East 19th Ave,,Aurora,CO,80019-3710,,,,,,,,Shipping labels in file package-FBA15S0Z7XV0.pdf
CA,,,3,FBA15S0Z7XV0,10-08-2020,,,,,,CHM,,,R003-2,,EAN : 8902552048870,,BEST,10-08-2020,10-11-2020,1,CS,1,,"Amazon.com Services, Inc.",,22205 East 19th Ave,,Aurora,CO,80019-3710,,,,,,,,Shipping labels in file package-FBA15S0Z7XV0.pdf
CA,,,3,FBA15S0Z7XVN,10-08-2020,,,,,,CHM,,,B002-2,,EAN : 8902552045954,,BEST,10-08-2020,10-11-2020,12,CS,6,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15S0Z7XVN.pdf
CA,,,3,FBA15S0Z7XVN,10-08-2020,,,,,,CHM,,,B002-7,,EAN : 8902552051481,,BEST,10-08-2020,10-11-2020,6,CS,6,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15S0Z7XVN.pdf
CA,,,3,FBA15S0Z7XVN,10-08-2020,,,,,,CHM,,,B003-2,,EAN : 8902552046890,,BEST,10-08-2020,10-11-2020,12,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15S0Z7XVN.pdf
CA,,,3,FBA15S0Z7XVN,10-08-2020,,,,,,CHM,,,B003-3,,EAN : 8902552046906,,BEST,10-08-2020,10-11-2020,12,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15S0Z7XVN.pdf
CA,,,3,FBA15S0Z7XVN,10-08-2020,,,,,,CHM,,,B003-5,,EAN : 8902552048115,,BEST,10-08-2020,10-11-2020,24,CS,12,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15S0Z7XVN.pdf
CA,,,3,FBA15S0Z7XVN,10-08-2020,,,,,,CHM,,,B029-1,,EAN : 8902552048801,,BEST,10-08-2020,10-11-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15S0Z7XVN.pdf
CA,,,3,FBA15S0Z7XVN,10-08-2020,,,,,,CHM,,,PM007,,EAN : 8902552051757,,BEST,10-08-2020,10-11-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15S0Z7XVN.pdf
CA,,,3,FBA15S0Z7XVN,10-08-2020,,,,,,CHM,,,R002-4,,EAN : 8902552049136,,BEST,10-08-2020,10-11-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15S0Z7XVN.pdf
CA,,,3,FBA15S0Z7XVN,10-08-2020,,,,,,CHM,,,R002-5,,EAN : 8902552048856,,BEST,10-08-2020,10-11-2020,20,CS,20,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15S0Z7XVN.pdf
CA,,,3,FBA15S0Z7XVN,10-08-2020,,,,,,CHM,,,TR002,,EAN : 8902552050187,,BEST,10-08-2020,10-11-2020,13,CS,13,,SMF3,,3923 S B ST,,Stockton,CA,95206-8202,,,,,,,,Shipping labels in file package-FBA15S0Z7XVN.pdf
